epoch,losses
27,"{'adv_total': 0.04071774723706767, 'adv_toward': 0.03989951312541962, 'adv_away': 0.0008182341116480529, 'def_total': 15.58914852142334, 'def_toward': 8.062814712524414, 'def_away': 6.233190536499023, 'def_sft': 1.2931432723999023}"
28,"{'adv_total': 0.5179478973150253, 'adv_toward': 0.46596795320510864, 'adv_away': 0.05197994410991669, 'def_total': 10.89650821685791, 'def_toward': 4.874786853790283, 'def_away': 3.9474003314971924, 'def_sft': 2.0743210315704346}"
29,"{'adv_total': 1.6787666119635105, 'adv_toward': 1.6447422504425049, 'adv_away': 0.03402436152100563, 'def_total': 8.609633684158325, 'def_toward': 4.963376522064209, 'def_away': 1.3180029392242432, 'def_sft': 2.328254222869873}"
30,"{'adv_total': 1.3716592192649841, 'adv_toward': 1.2087674140930176, 'adv_away': 0.16289180517196655, 'def_total': 5.570904016494751, 'def_toward': 2.897087574005127, 'def_away': 1.506672978401184, 'def_sft': 1.16714346408844}"
31,"{'adv_total': 2.495216004550457, 'adv_toward': 2.373722791671753, 'adv_away': 0.12149321287870407, 'def_total': 3.679325819015503, 'def_toward': 2.1920080184936523, 'def_away': 0.6520426869392395, 'def_sft': 0.8352751135826111}"
32,"{'adv_total': 0.047189975157380104, 'adv_toward': 0.033570148050785065, 'adv_away': 0.01361982710659504, 'def_total': 14.18241959810257, 'def_toward': 6.088301181793213, 'def_away': 7.135129451751709, 'def_sft': 0.9589889645576477}"
33,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.6498310565948486}"
34,"{'adv_total': 0.8809206932783127, 'adv_toward': 0.7586367726325989, 'adv_away': 0.1222839206457138, 'def_total': 6.911937415599823, 'def_toward': 3.1626245975494385, 'def_away': 3.2566471099853516, 'def_sft': 0.49266570806503296}"
35,"{'adv_total': 1.5642531663179398, 'adv_toward': 1.5298837423324585, 'adv_away': 0.03436942398548126, 'def_total': 7.9046764969825745, 'def_toward': 5.249802589416504, 'def_away': 1.869944453239441, 'def_sft': 0.7849294543266296}"
36,"{'adv_total': 2.611759550869465, 'adv_toward': 2.53452205657959, 'adv_away': 0.07723749428987503, 'def_total': 4.77859154343605, 'def_toward': 3.4525952339172363, 'def_away': 0.2612253725528717, 'def_sft': 1.0647709369659424}"
37,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.1584584712982178}"
38,"{'adv_total': 0.12416291330009699, 'adv_toward': 0.11139639467000961, 'adv_away': 0.012766518630087376, 'def_total': 14.007804036140442, 'def_toward': 6.783901691436768, 'def_away': 5.997778415679932, 'def_sft': 1.2261239290237427}"
39,"{'adv_total': 0.026286803651601076, 'adv_toward': 0.022416215389966965, 'adv_away': 0.0038705882616341114, 'def_total': 15.20560085773468, 'def_toward': 7.141732692718506, 'def_away': 6.192765235900879, 'def_sft': 1.8711029291152954}"
40,"{'adv_total': 0.6122679710388184, 'adv_toward': 0.519561767578125, 'adv_away': 0.09270620346069336, 'def_total': 7.461154758930206, 'def_toward': 3.824540138244629, 'def_away': 3.0087082386016846, 'def_sft': 0.6279063820838928}"
41,"{'adv_total': 0.9171952977776527, 'adv_toward': 0.8858210444450378, 'adv_away': 0.0313742533326149, 'def_total': 9.191232800483704, 'def_toward': 5.528082370758057, 'def_away': 2.31026029586792, 'def_sft': 1.352890133857727}"
42,"{'adv_total': 0.8556820005178452, 'adv_toward': 0.7457239627838135, 'adv_away': 0.10995803773403168, 'def_total': 6.638803720474243, 'def_toward': 3.3126842975616455, 'def_away': 2.053222417831421, 'def_sft': 1.2728970050811768}"
43,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.0576953887939453}"
44,"{'adv_total': 0.006173424888402224, 'adv_toward': 0.004319080151617527, 'adv_away': 0.0018543447367846966, 'def_total': 15.174257516860962, 'def_toward': 6.651913642883301, 'def_away': 7.310050010681152, 'def_sft': 1.2122938632965088}"
