epoch,losses
28,"{'adv_total': 0.7101890332996845, 'adv_toward': 0.6522549986839294, 'adv_away': 0.05793403461575508, 'def_total': 8.779208183288574, 'def_toward': 3.5067052841186523, 'def_away': 4.20759391784668, 'def_sft': 1.0649089813232422}"
29,"{'adv_total': 0.005725249415263534, 'adv_toward': 0.003599595744162798, 'adv_away': 0.0021256536711007357, 'def_total': 15.698496043682098, 'def_toward': 6.762138366699219, 'def_away': 8.321456909179688, 'def_sft': 0.6149007678031921}"
30,"{'adv_total': 0.4706219583749771, 'adv_toward': 0.38420039415359497, 'adv_away': 0.08642156422138214, 'def_total': 10.649529695510864, 'def_toward': 4.617664337158203, 'def_away': 5.000550270080566, 'def_sft': 1.0313150882720947}"
31,"{'adv_total': 0.003625447687227279, 'adv_toward': 0.0031353181693702936, 'adv_away': 0.0004901295178569853, 'def_total': 17.03605568408966, 'def_toward': 7.696038246154785, 'def_away': 8.109745025634766, 'def_sft': 1.2302724123001099}"
32,"{'adv_total': 0.5410715714097023, 'adv_toward': 0.43887433409690857, 'adv_away': 0.10219723731279373, 'def_total': 8.54751169681549, 'def_toward': 4.152271270751953, 'def_away': 3.3721816539764404, 'def_sft': 1.0230587720870972}"
33,"{'adv_total': 0.0029868533019907773, 'adv_toward': 0.0023895129561424255, 'adv_away': 0.0005973403458483517, 'def_total': 16.987347722053528, 'def_toward': 7.395878791809082, 'def_away': 8.49495792388916, 'def_sft': 1.0965110063552856}"
34,"{'adv_total': 0.796565443277359, 'adv_toward': 0.6691158413887024, 'adv_away': 0.12744960188865662, 'def_total': 7.18614387512207, 'def_toward': 3.5199453830718994, 'def_away': 2.471726655960083, 'def_sft': 1.194471836090088}"
35,"{'adv_total': 0.00788884490611963, 'adv_toward': 0.007479912135750055, 'adv_away': 0.00040893277036957443, 'def_total': 16.703822076320648, 'def_toward': 8.207314491271973, 'def_away': 7.5115838050842285, 'def_sft': 0.984923779964447}"
36,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.7294081449508667}"
37,"{'adv_total': 0.0014229355147108436, 'adv_toward': 0.0010171919129788876, 'adv_away': 0.000405743601731956, 'def_total': 17.180167078971863, 'def_toward': 6.998764514923096, 'def_away': 9.181109428405762, 'def_sft': 1.0002931356430054}"
38,"{'adv_total': 1.035481184720993, 'adv_toward': 0.841497004032135, 'adv_away': 0.19398418068885803, 'def_total': 6.875344276428223, 'def_toward': 3.187753200531006, 'def_away': 2.528460741043091, 'def_sft': 1.159130334854126}"
39,"{'adv_total': 0.05635765800252557, 'adv_toward': 0.051463086158037186, 'adv_away': 0.004894571844488382, 'def_total': 13.917766332626343, 'def_toward': 6.857280254364014, 'def_away': 5.795008182525635, 'def_sft': 1.2654778957366943}"
40,"{'adv_total': 0.4737938269972801, 'adv_toward': 0.42701002955436707, 'adv_away': 0.046783797442913055, 'def_total': 8.330317497253418, 'def_toward': 4.0755934715271, 'def_away': 3.553955316543579, 'def_sft': 0.7007687091827393}"
41,"{'adv_total': 0.009272083872929215, 'adv_toward': 0.006260675843805075, 'adv_away': 0.0030114080291241407, 'def_total': 17.476115703582764, 'def_toward': 8.482076644897461, 'def_away': 7.618312358856201, 'def_sft': 1.3757266998291016}"
42,"{'adv_total': 0.43846429884433746, 'adv_toward': 0.3711093068122864, 'adv_away': 0.06735499203205109, 'def_total': 8.60966408252716, 'def_toward': 4.954822063446045, 'def_away': 3.045555353164673, 'def_sft': 0.6092866659164429}"
43,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 1.022447109222412}"
44,"{'adv_total': 0.6865764930844307, 'adv_toward': 0.5835978388786316, 'adv_away': 0.1029786542057991, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.862980306148529}"
45,"{'adv_total': 0.0037102648057043552, 'adv_toward': 0.001960453577339649, 'adv_away': 0.001749811228364706, 'def_total': 15.456063747406006, 'def_toward': 6.909323692321777, 'def_away': 7.759671211242676, 'def_sft': 0.7870688438415527}"
46,"{'adv_total': 0.7682149559259415, 'adv_toward': 0.6616066694259644, 'adv_away': 0.10660828649997711, 'def_total': 8.279732644557953, 'def_toward': 4.612252235412598, 'def_away': 2.7382874488830566, 'def_sft': 0.9291929602622986}"
47,"{'adv_total': 0.0033615714637562633, 'adv_toward': 0.0026449679862707853, 'adv_away': 0.0007166034774854779, 'def_total': 16.02737295627594, 'def_toward': 7.161189079284668, 'def_away': 7.418610572814941, 'def_sft': 1.4475733041763306}"
48,"{'adv_total': 1.1984622478485107, 'adv_toward': 0.9114205241203308, 'adv_away': 0.28704172372817993, 'def_total': 5.6694284081459045, 'def_toward': 3.1608400344848633, 'def_away': 1.7898823022842407, 'def_sft': 0.7187060713768005}"
49,"{'adv_total': 0.023149786051362753, 'adv_toward': 0.01902354322373867, 'adv_away': 0.0041262428276240826, 'def_total': 16.15321397781372, 'def_toward': 7.8396687507629395, 'def_away': 7.43269157409668, 'def_sft': 0.8808536529541016}"
50,"{'adv_total': 0.37219466641545296, 'adv_toward': 0.3306877613067627, 'adv_away': 0.04150690510869026, 'def_total': 10.02372121810913, 'def_toward': 4.731809139251709, 'def_away': 4.704494476318359, 'def_sft': 0.5874176025390625}"
51,"{'adv_total': 0.08842710591852665, 'adv_toward': 0.06467683613300323, 'adv_away': 0.023750269785523415, 'def_total': 12.438843309879303, 'def_toward': 6.351647853851318, 'def_away': 5.112846851348877, 'def_sft': 0.9743486046791077}"
52,"{'adv_total': 0.22277624905109406, 'adv_toward': 0.1420796513557434, 'adv_away': 0.08069659769535065, 'def_total': 9.380878031253815, 'def_toward': 4.057592868804932, 'def_away': 4.342756748199463, 'def_sft': 0.9805284142494202}"
53,"{'adv_total': 0.23113069776445627, 'adv_toward': 0.22673135995864868, 'adv_away': 0.0043993378058075905, 'def_total': 12.775443434715271, 'def_toward': 6.502392768859863, 'def_away': 5.087349891662598, 'def_sft': 1.18570077419281}"
54,"{'adv_total': 0.6060767658054829, 'adv_toward': 0.5594367384910583, 'adv_away': 0.046640027314424515, 'def_total': 8.576406002044678, 'def_toward': 4.881924152374268, 'def_away': 2.5373849868774414, 'def_sft': 1.1570968627929688}"
55,"{'adv_total': 0.05955652450211346, 'adv_toward': 0.05777286738157272, 'adv_away': 0.001783657120540738, 'def_total': 14.338324248790741, 'def_toward': 7.041796684265137, 'def_away': 6.355751037597656, 'def_sft': 0.940776526927948}"
56,"{'adv_total': 0.766231119632721, 'adv_toward': 0.6604966521263123, 'adv_away': 0.10573446750640869, 'def_total': 9.331383228302002, 'def_toward': 5.109205722808838, 'def_away': 3.134568452835083, 'def_sft': 1.087609052658081}"
57,"{'adv_total': 0.027798524126410484, 'adv_toward': 0.01828247681260109, 'adv_away': 0.009516047313809395, 'def_total': 13.663632571697235, 'def_toward': 6.054103374481201, 'def_away': 6.6139020919799805, 'def_sft': 0.9956271052360535}"
58,"{'adv_total': 0.8690504431724548, 'adv_toward': 0.7108686566352844, 'adv_away': 0.1581817865371704, 'def_total': 6.164268851280212, 'def_toward': 3.598296880722046, 'def_away': 2.1674273014068604, 'def_sft': 0.39854466915130615}"
59,"{'adv_total': 0.07356639765202999, 'adv_toward': 0.06384076178073883, 'adv_away': 0.00972563587129116, 'def_total': 11.091738283634186, 'def_toward': 5.233665466308594, 'def_away': 5.228921413421631, 'def_sft': 0.6291514039039612}"
60,"{'adv_total': 1.2009587064385414, 'adv_toward': 1.1383931636810303, 'adv_away': 0.06256554275751114, 'def_total': 7.408881366252899, 'def_toward': 4.225548267364502, 'def_away': 2.217442512512207, 'def_sft': 0.9658905863761902}"
61,"{'adv_total': 0.04812472127377987, 'adv_toward': 0.043849799782037735, 'adv_away': 0.004274921491742134, 'def_total': 14.060136795043945, 'def_toward': 6.855878829956055, 'def_away': 6.519860744476318, 'def_sft': 0.6843972206115723}"
62,"{'adv_total': 0.5291717424988747, 'adv_toward': 0.48071128129959106, 'adv_away': 0.0484604611992836, 'def_total': 7.906155526638031, 'def_toward': 4.114544868469238, 'def_away': 3.530879020690918, 'def_sft': 0.26073163747787476}"
63,"{'adv_total': 0.03244248731061816, 'adv_toward': 0.029181595891714096, 'adv_away': 0.003260891418904066, 'def_total': 14.682572603225708, 'def_toward': 7.2823004722595215, 'def_away': 6.157379627227783, 'def_sft': 1.2428925037384033}"
64,"{'adv_total': 0.6299276985228062, 'adv_toward': 0.5768768787384033, 'adv_away': 0.05305081978440285, 'def_total': 7.19544517993927, 'def_toward': 4.124197006225586, 'def_away': 2.427419900894165, 'def_sft': 0.643828272819519}"
