epoch,losses
61,"{'adv_total': 0.8050245642662048, 'adv_toward': 0.6137574315071106, 'adv_away': 0.19126713275909424}"
62,"{'adv_total': 0.030065272469073534, 'adv_toward': 0.02454160712659359, 'adv_away': 0.005523665342479944}"
63,"{'adv_total': 0.010181518213357776, 'adv_toward': 0.009572445414960384, 'adv_away': 0.000609072798397392}"
64,"{'adv_total': 0.04139355733059347, 'adv_toward': 0.038449786603450775, 'adv_away': 0.0029437707271426916}"
65,"{'adv_total': 1.7401708513498306, 'adv_toward': 1.5688897371292114, 'adv_away': 0.1712811142206192}"
66,"{'adv_total': 0.024037518072873354, 'adv_toward': 0.020750297233462334, 'adv_away': 0.0032872208394110203}"
67,"{'adv_total': 1.7108682245016098, 'adv_toward': 1.5730160474777222, 'adv_away': 0.13785217702388763}"
68,"{'adv_total': 0.6335364431142807, 'adv_toward': 0.5872437357902527, 'adv_away': 0.046292707324028015}"
69,"{'adv_total': 0.00933902757242322, 'adv_toward': 0.007173278369009495, 'adv_away': 0.002165749203413725}"
70,"{'adv_total': 0.3680955749005079, 'adv_toward': 0.3418433964252472, 'adv_away': 0.026252178475260735}"
71,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
72,"{'adv_total': 0.07487678993493319, 'adv_toward': 0.06955884397029877, 'adv_away': 0.0053179459646344185}"
73,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
74,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
75,"{'adv_total': 0.013445083983242512, 'adv_toward': 0.008283629082143307, 'adv_away': 0.005161454901099205}"
76,"{'adv_total': 1.362918235361576, 'adv_toward': 1.32415771484375, 'adv_away': 0.03876052051782608}"
77,"{'adv_total': 2.115278512239456, 'adv_toward': 1.7053943872451782, 'adv_away': 0.40988412499427795}"
78,"{'adv_total': 0.3389795050024986, 'adv_toward': 0.26780959963798523, 'adv_away': 0.0711699053645134}"
79,"{'adv_total': 1.9639181718230247, 'adv_toward': 1.9048091173171997, 'adv_away': 0.05910905450582504}"
80,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
81,"{'adv_total': 1.3311073333024979, 'adv_toward': 1.1152275800704956, 'adv_away': 0.21587975323200226}"
82,"{'adv_total': 1.5998461619019508, 'adv_toward': 1.5487645864486694, 'adv_away': 0.0510815754532814}"
83,"{'adv_total': 0.010123440297320485, 'adv_toward': 0.006468477193266153, 'adv_away': 0.0036549631040543318}"
84,"{'adv_total': 1.4273220598697662, 'adv_toward': 1.0860745906829834, 'adv_away': 0.34124746918678284}"
85,"{'adv_total': 0.011029973160475492, 'adv_toward': 0.0056580789387226105, 'adv_away': 0.005371894221752882}"
86,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan}"
87,"{'adv_total': 2.7241535261273384, 'adv_toward': 2.656079053878784, 'adv_away': 0.06807447224855423}"
88,"{'adv_total': 1.6470707207918167, 'adv_toward': 1.4716200828552246, 'adv_away': 0.1754506379365921}"
89,"{'adv_total': 1.7805474400520325, 'adv_toward': 1.5002150535583496, 'adv_away': 0.28033238649368286}"
90,"{'adv_total': 2.5655826330184937, 'adv_toward': 2.441229820251465, 'adv_away': 0.12435281276702881}"
91,"{'adv_total': 0.013738763984292746, 'adv_toward': 0.007221707608550787, 'adv_away': 0.006517056375741959}"
92,"{'adv_total': 0.7255670949816704, 'adv_toward': 0.6509421467781067, 'adv_away': 0.07462494820356369}"
93,"{'adv_total': 1.46034274995327, 'adv_toward': 1.2873846292495728, 'adv_away': 0.1729581207036972}"
94,"{'adv_total': 0.21299368049949408, 'adv_toward': 0.19766776263713837, 'adv_away': 0.015325917862355709}"
95,"{'adv_total': 0.03734735492616892, 'adv_toward': 0.031523074954748154, 'adv_away': 0.005824279971420765}"
96,"{'adv_total': 0.07760673854500055, 'adv_toward': 0.06380350887775421, 'adv_away': 0.013803229667246342}"
97,"{'adv_total': 1.9197821617126465, 'adv_toward': 1.6363184452056885, 'adv_away': 0.283463716506958}"
98,"{'adv_total': 0.006022808374837041, 'adv_toward': 0.0030517578125, 'adv_away': 0.002971050562337041}"
99,"{'adv_total': 1.0767354220151901, 'adv_toward': 0.9735614061355591, 'adv_away': 0.10317401587963104}"
