epoch,losses
27,"{'adv_total': 0.08687456883490086, 'adv_toward': 0.06803369522094727, 'adv_away': 0.01884087361395359, 'def_total': 11.557552814483643, 'def_toward': 5.3389892578125, 'def_away': 4.9844970703125, 'def_sft': 1.2340664863586426}"
28,"{'adv_total': 0.028703128919005394, 'adv_toward': 0.006890278309583664, 'adv_away': 0.02181285060942173, 'def_total': 14.186602175235748, 'def_toward': 5.870407581329346, 'def_away': 7.533402442932129, 'def_sft': 0.7827921509742737}"
29,"{'adv_total': 0.00494792521931231, 'adv_toward': 0.0029485817067325115, 'adv_away': 0.0019993435125797987, 'def_total': 14.717455923557281, 'def_toward': 6.9023566246032715, 'def_away': 7.13756799697876, 'def_sft': 0.6775313019752502}"
30,"{'adv_total': 0.004424399463459849, 'adv_toward': 0.003471449948847294, 'adv_away': 0.0009529495146125555, 'def_total': 16.813440799713135, 'def_toward': 7.399114608764648, 'def_away': 8.538247108459473, 'def_sft': 0.8760790824890137}"
31,"{'adv_total': nan, 'adv_toward': nan, 'adv_away': nan, 'def_total': nan, 'def_toward': nan, 'def_away': nan, 'def_sft': 0.34031522274017334}"
32,"{'adv_total': 0.006158540491014719, 'adv_toward': 0.0041961632668972015, 'adv_away': 0.0019623772241175175, 'def_total': 15.643016993999481, 'def_toward': 6.971153259277344, 'def_away': 7.674295902252197, 'def_sft': 0.9975678324699402}"
33,"{'adv_total': 0.036583335837349296, 'adv_toward': 0.03503910079598427, 'adv_away': 0.0015442350413650274, 'def_total': 15.143160462379456, 'def_toward': 7.180388450622559, 'def_away': 6.9707207679748535, 'def_sft': 0.9920512437820435}"
34,"{'adv_total': 0.001890019586426206, 'adv_toward': 0.0016652869526296854, 'adv_away': 0.00022473263379652053, 'def_total': 18.006299376487732, 'def_toward': 7.9910359382629395, 'def_away': 8.835675239562988, 'def_sft': 1.1795881986618042}"
35,"{'adv_total': 0.012063230853527784, 'adv_toward': 0.004757077433168888, 'adv_away': 0.007306153420358896, 'def_total': 13.729098737239838, 'def_toward': 5.979452610015869, 'def_away': 6.7856245040893555, 'def_sft': 0.964021623134613}"
36,"{'adv_total': 0.04406166973058134, 'adv_toward': 0.043256357312202454, 'adv_away': 0.0008053124183788896, 'def_total': 14.807852149009705, 'def_toward': 7.340991020202637, 'def_away': 6.405407428741455, 'def_sft': 1.0614537000656128}"
37,"{'adv_total': 0.0010869548714254051, 'adv_toward': 0.0009001814178191125, 'adv_away': 0.0001867734536062926, 'def_total': 18.563380360603333, 'def_toward': 9.23112964630127, 'def_away': 8.76480484008789, 'def_sft': 0.5674458742141724}"
38,"{'adv_total': 0.012144158594310284, 'adv_toward': 0.0033875806257128716, 'adv_away': 0.008756577968597412, 'def_total': 14.317640841007233, 'def_toward': 6.414139747619629, 'def_away': 7.123356342315674, 'def_sft': 0.7801447510719299}"
39,"{'adv_total': 0.026565988548099995, 'adv_toward': 0.015734685584902763, 'adv_away': 0.010831302963197231, 'def_total': 13.28151947259903, 'def_toward': 6.17100715637207, 'def_away': 6.36639928817749, 'def_sft': 0.744113028049469}"
40,"{'adv_total': 0.006824794691056013, 'adv_toward': 0.004162230063229799, 'adv_away': 0.002662564627826214, 'def_total': 13.909300804138184, 'def_toward': 6.373308181762695, 'def_away': 6.741286277770996, 'def_sft': 0.7947063446044922}"
41,"{'adv_total': 0.02601865353062749, 'adv_toward': 0.023155611008405685, 'adv_away': 0.0028630425222218037, 'def_total': 13.687868356704712, 'def_toward': 6.568838119506836, 'def_away': 6.1406168937683105, 'def_sft': 0.9784133434295654}"
42,"{'adv_total': 0.012018744833767414, 'adv_toward': 0.007638957351446152, 'adv_away': 0.004379787482321262, 'def_total': 13.426282048225403, 'def_toward': 6.3903398513793945, 'def_away': 6.1405792236328125, 'def_sft': 0.8953629732131958}"
43,"{'adv_total': 0.006025889655575156, 'adv_toward': 0.004885787609964609, 'adv_away': 0.001140102045610547, 'def_total': 14.038243293762207, 'def_toward': 6.189324855804443, 'def_away': 6.751368522644043, 'def_sft': 1.0975499153137207}"
44,"{'adv_total': 0.011045204941183329, 'adv_toward': 0.004738030955195427, 'adv_away': 0.006307173985987902, 'def_total': 13.897672712802887, 'def_toward': 6.373861789703369, 'def_away': 6.818208694458008, 'def_sft': 0.70560222864151}"
