epoch,losses
58,"{'adv_total': 0.8690504431724548, 'adv_toward': 0.7108686566352844, 'adv_away': 0.1581817865371704}"
59,"{'adv_total': 0.07356639765202999, 'adv_toward': 0.06384076178073883, 'adv_away': 0.00972563587129116}"
60,"{'adv_total': 1.2009587064385414, 'adv_toward': 1.1383931636810303, 'adv_away': 0.06256554275751114}"
61,"{'adv_total': 0.04812472127377987, 'adv_toward': 0.043849799782037735, 'adv_away': 0.004274921491742134}"
62,"{'adv_total': 0.5291717424988747, 'adv_toward': 0.48071128129959106, 'adv_away': 0.0484604611992836}"
63,"{'adv_total': 0.03244248731061816, 'adv_toward': 0.029181595891714096, 'adv_away': 0.003260891418904066}"
64,"{'adv_total': 0.6299276985228062, 'adv_toward': 0.5768768787384033, 'adv_away': 0.05305081978440285}"
65,"{'adv_total': 0.030637289630249143, 'adv_toward': 0.028378482908010483, 'adv_away': 0.00225880672223866}"
66,"{'adv_total': 0.5703131482005119, 'adv_toward': 0.533807098865509, 'adv_away': 0.0365060493350029}"
67,"{'adv_total': 0.048123860731720924, 'adv_toward': 0.03410850837826729, 'adv_away': 0.014015352353453636}"
68,"{'adv_total': 1.1058813855051994, 'adv_toward': 1.017897367477417, 'adv_away': 0.08798401802778244}"
69,"{'adv_total': 0.006323595531284809, 'adv_toward': 0.002843182533979416, 'adv_away': 0.0034804129973053932}"
70,"{'adv_total': 0.7792607694864273, 'adv_toward': 0.6332919597625732, 'adv_away': 0.14596880972385406}"
71,"{'adv_total': 0.02258065529167652, 'adv_toward': 0.016258185729384422, 'adv_away': 0.006322469562292099}"
72,"{'adv_total': 0.7972349151968956, 'adv_toward': 0.7329599261283875, 'adv_away': 0.06427498906850815}"
73,"{'adv_total': 0.010575409512966871, 'adv_toward': 0.005133723374456167, 'adv_away': 0.005441686138510704}"
74,"{'adv_total': 0.9701083451509476, 'adv_toward': 0.9406554698944092, 'adv_away': 0.02945287525653839}"
75,"{'adv_total': 0.046298894099891186, 'adv_toward': 0.030757855623960495, 'adv_away': 0.01554103847593069}"
76,"{'adv_total': 1.1704336106777191, 'adv_toward': 1.0421037673950195, 'adv_away': 0.12832984328269958}"
77,"{'adv_total': 0.07041978253982961, 'adv_toward': 0.06662268936634064, 'adv_away': 0.0037970931734889746}"
78,"{'adv_total': 1.364712506532669, 'adv_toward': 1.1882599592208862, 'adv_away': 0.17645254731178284}"
79,"{'adv_total': 0.014041848946362734, 'adv_toward': 0.01354951225221157, 'adv_away': 0.0004923366941511631}"
80,"{'adv_total': 1.211832270026207, 'adv_toward': 1.0191980600357056, 'adv_away': 0.1926342099905014}"
81,"{'adv_total': 0.2523527778685093, 'adv_toward': 0.21493010222911835, 'adv_away': 0.037422675639390945}"
82,"{'adv_total': 1.5858998149633408, 'adv_toward': 1.4390742778778076, 'adv_away': 0.14682553708553314}"
83,"{'adv_total': 0.07970089092850685, 'adv_toward': 0.06607933342456818, 'adv_away': 0.013621557503938675}"
84,"{'adv_total': 0.9780099987983704, 'adv_toward': 0.8385084271430969, 'adv_away': 0.13950157165527344}"
85,"{'adv_total': 0.07607774203643203, 'adv_toward': 0.06971133500337601, 'adv_away': 0.006366407033056021}"
86,"{'adv_total': 1.1202689111232758, 'adv_toward': 0.9884140491485596, 'adv_away': 0.1318548619747162}"
87,"{'adv_total': 0.01955890515819192, 'adv_toward': 0.014688044786453247, 'adv_away': 0.004870860371738672}"
88,"{'adv_total': 1.5817275494337082, 'adv_toward': 1.3477014303207397, 'adv_away': 0.23402611911296844}"
89,"{'adv_total': 0.8649775795638561, 'adv_toward': 0.8599057197570801, 'adv_away': 0.005071859806776047}"
90,"{'adv_total': 1.4672155976295471, 'adv_toward': 1.3140122890472412, 'adv_away': 0.1532033085823059}"
91,"{'adv_total': 0.10290063917636871, 'adv_toward': 0.0634067952632904, 'adv_away': 0.03949384391307831}"
92,"{'adv_total': 0.9024155586957932, 'adv_toward': 0.8062535524368286, 'adv_away': 0.09616200625896454}"
93,"{'adv_total': 0.049177734181284904, 'adv_toward': 0.043609049171209335, 'adv_away': 0.005568685010075569}"
94,"{'adv_total': 0.965869203209877, 'adv_toward': 0.8366286158561707, 'adv_away': 0.12924058735370636}"
95,"{'adv_total': 0.07532916031777859, 'adv_toward': 0.050462305545806885, 'adv_away': 0.024866854771971703}"
96,"{'adv_total': 1.3553074896335602, 'adv_toward': 1.1803674697875977, 'adv_away': 0.17494001984596252}"
97,"{'adv_total': 0.17755556851625443, 'adv_toward': 0.10190914571285248, 'adv_away': 0.07564642280340195}"
98,"{'adv_total': 1.3428984582424164, 'adv_toward': 1.2218586206436157, 'adv_away': 0.12103983759880066}"
99,"{'adv_total': 0.2670339345932007, 'adv_toward': 0.1901155412197113, 'adv_away': 0.07691839337348938}"
