epoch,losses
56,"{'adv_total': 0.02788487554062158, 'adv_toward': 0.026434902101755142, 'adv_away': 0.0014499734388664365}"
57,"{'adv_total': 0.11331705865450203, 'adv_toward': 0.11028607934713364, 'adv_away': 0.0030309793073683977}"
58,"{'adv_total': 0.020360956783406436, 'adv_toward': 0.018818959593772888, 'adv_away': 0.0015419971896335483}"
59,"{'adv_total': 0.07569548347964883, 'adv_toward': 0.06795158982276917, 'adv_away': 0.0077438936568796635}"
60,"{'adv_total': 0.06503721559420228, 'adv_toward': 0.05908041447401047, 'adv_away': 0.0059568011201918125}"
61,"{'adv_total': 0.044739303179085255, 'adv_toward': 0.032870158553123474, 'adv_away': 0.01186914462596178}"
62,"{'adv_total': 0.021361888386309147, 'adv_toward': 0.014453615061938763, 'adv_away': 0.006908273324370384}"
63,"{'adv_total': 0.15114425867795944, 'adv_toward': 0.12089370936155319, 'adv_away': 0.03025054931640625}"
64,"{'adv_total': 0.03545447764918208, 'adv_toward': 0.028895683586597443, 'adv_away': 0.006558794062584639}"
65,"{'adv_total': 0.02534512896090746, 'adv_toward': 0.020131928846240044, 'adv_away': 0.005213200114667416}"
66,"{'adv_total': 0.06781583372503519, 'adv_toward': 0.05243675783276558, 'adv_away': 0.015379075892269611}"
67,"{'adv_total': 0.04370095953345299, 'adv_toward': 0.03207281604409218, 'adv_away': 0.01162814348936081}"
68,"{'adv_total': 0.37128495052456856, 'adv_toward': 0.32947853207588196, 'adv_away': 0.0418064184486866}"
69,"{'adv_total': 0.029043729649856687, 'adv_toward': 0.025626149028539658, 'adv_away': 0.003417580621317029}"
70,"{'adv_total': 0.10841122083365917, 'adv_toward': 0.07984143495559692, 'adv_away': 0.028569785878062248}"
71,"{'adv_total': 0.05644739978015423, 'adv_toward': 0.03330446407198906, 'adv_away': 0.02314293570816517}"
72,"{'adv_total': 0.31591570377349854, 'adv_toward': 0.18001064658164978, 'adv_away': 0.13590505719184875}"
73,"{'adv_total': 0.37411537766456604, 'adv_toward': 0.3021693527698517, 'adv_away': 0.07194602489471436}"
74,"{'adv_total': 0.053288254886865616, 'adv_toward': 0.033192966133356094, 'adv_away': 0.02009528875350952}"
75,"{'adv_total': 0.08566590957343578, 'adv_toward': 0.06908053159713745, 'adv_away': 0.016585377976298332}"
76,"{'adv_total': 0.12305552302859724, 'adv_toward': 0.12170040607452393, 'adv_away': 0.00135511695407331}"
77,"{'adv_total': 0.2610428109765053, 'adv_toward': 0.13967515528202057, 'adv_away': 0.12136765569448471}"
78,"{'adv_total': 0.8497747629880905, 'adv_toward': 0.7827553749084473, 'adv_away': 0.06701938807964325}"
